id,genre
4nMkjATDqJu3j3LHSt3g31,chill
37i9dQZF1EQn1VBR3CMMWb,classical
27Zm1P410dPfedsdoO9fqm,classical
37i9dQZF1DWWEJlAGA9gs0,classical
1h0CEZCm6IbFTbxThn6Xcs,classical
37i9dQZF1DWVFeEut75IAL,classical
6wObnEPQ63a4kei1sEcMdH,classical
37i9dQZF1DX8Sz1gsYZdwj,classical
37i9dQZF1DX9OZisIoJQhG,classical
37i9dQZF1DWUPafHP1BJw1,classical
37i9dQZF1DWUqIzZNMSCv3,classical
5fAcG9Ac4qqGJJ3udoI1rt,club
1EFD2ttJkVW7osRnhE7WB0,club
28Nd2a6kcucHwmdjn7rZ53,club
37i9dQZF1EIcsHAaTPt2VN,club
37i9dQZF1EIh3pWPqiD1cL,club
5xB8MvblguC1uYmlxWzg4K,club
5o6VHEWPS59KkKctXO29So,club
1JzO8MUPjx3xjBUEWybea1,club
2vkVAT0srHOlJNAglVAyBu,club
62gdngiXCfAZARl7vtX0Fk,club
00W7hnxf3ZgUmBso35OBSL,comedy
7fBG6WQtGyGbs8nqgLW9Kj,comedy
37i9dQZF1DZ06evO3V3Eqr,comedy
21DLBWjY0KIvevhK2JftM3,comedy
61v3DdImiFq8qOR1iPMQeR,comedy
2gOOVCnjoO5CxqJjlgUFnt,comedy
1G35Wa91Sgi8Fx2lm2EJza,comedy
097oNB0qtImpxyT7KCSLzR,comedy
3OK6DZjktxa1QXfZxwvWqk,comedy
72QbSPeAMRMwF4huIaIS6R,comedy
37i9dQZF1EQmPV0vrce2QZ,country
1jA5VGnxLV5WtNXEckpxjY,country
4m2b9fA2s6h9zCdTIYj35d,country
37i9dQZF1DX1lVhptIYRda,country
37i9dQZF1DX7aUUBCKwo4Y,country
7lQu0IRGR1qTjWYdZbbKXE,country
37i9dQZF1DWZBCPUIUs2iR,country
2Hi4RV1DJHHiSDcwYFFKeR,country
37i9dQZF1DXbIbVYph0Zr5,country
7J3PLgp2DGCDkvqZXHhv3x,country
37i9dQZF1EQp9BVPsNVof1,dance
5oKz4DsTP8zbL97UIPbqp4,dance
37i9dQZF1DWZQaaqNMbbXa,dance
37i9dQZF1EIdt7tQbR8QDN,dance
37i9dQZF1DX0BcQWzuB7ZO,dance
002Ux2sdgA8uoeqTba4Cph,dance
37i9dQZF1DX8tZsk68tuDw,dance
08q9DbgxlY1D6j8I8A0i75,dance
37i9dQZF1DXaXB8fQg7xif,dance
04EKmJhBK8dLL6SONP5dyq,dance
37i9dQZF1DWWDLvD3P5wOG,dancehall
37i9dQZF1EQqoytXQhz8dz,dancehall
37i9dQZF1DXan38dNVDdl4,dancehall
1AKuDAKQOUSbQ8KKJkrlMi,dancehall
37i9dQZF1DXe9hay4VT07f,dancehall
37i9dQZF1DX0cNYCfLOrsu,dancehall
5JxXfTCuktoxrvGYZVViM7,dancehall
37i9dQZF1DX9QYRS3EMTFh,dancehall
1m5hxZKC0uI05ebnEs1Y4H,dancehall
3dEL2fn2HqnnIpSlearSJE,dancehall
2vivknVOeJD7BUYnnuztrE,death-metal
37i9dQZF1DX1cJWWyylDuw,death-metal
37i9dQZF1EIf78r65WuXwA,death-metal
4t2UEdXO2JmzuDi2XiwU34,death-metal
37i9dQZF1EQpgT26jgbgRI,death-metal
37i9dQZF1DWWOaP4H0w5b0,death-metal
5iZh1symrVbgqWNwXACTZ2,death-metal
37i9dQZF1DXbl9rMxGEmRC,death-metal
4tszLL7NTfLCoIz39Zsiy1,death-metal
3ULksLh0NM7VF6BqXcOIKL,death-metal
6vDGVr652ztNWKZuHvsFvx,deep-house
37i9dQZF1DWUbycBFSWTh7,deep-house
37i9dQZF1DX2TRYkJECvfC,deep-house
37i9dQZF1EId9cZrsKjzaP,deep-house
37i9dQZF1DWXRzAsbxGrBZ,deep-house
37i9dQZF1DX5xiztvBdlUf,deep-house
5KqcXraQXwHCZrES4oK60k,deep-house
4EjIhZWbxJNNiHPwVh17mF,deep-house
6sjE3PzVsrvlHHSwdCHsXE,deep-house
2GOq4YducOjWm88a4IkCQq,deep-house
37i9dQZF1DX1GT5IIzDqMe,detroit-techno
1o1HVRGIxwCcdSnNnZ69IC,detroit-techno
37i9dQZF1DXcgtZZKiQlS2,detroit-techno
2Bnx8fp2b5cAQkKkRYhUxx,detroit-techno
37i9dQZF1DZ06evO2sAxl6,detroit-techno
1kGO4gJDcChByt3htbOQkh,detroit-techno
37i9dQZF1DWW2MPLDvoRsO,detroit-techno
67r3cLFFmuwemMyELx6X8m,detroit-techno
37i9dQZF1DZ06evO1eHAxb,detroit-techno
0Xpa9mELGm8wQdFF435CX4,detroit-techno
37i9dQZF1DX2H07nGW2AbS,disco
5B3gb8HbvFm02ccQVH33IO,disco
37i9dQZF1DX1MUPbVKMgJE,disco
37i9dQZF1EIeVYN6avAKmV,disco
37i9dQZF1DX2GKumqRIZ7g,disco
2ogAVuTJqtu2jdkHtLtT4D,disco
16gXkBffn3lgPwLbQlT61E,disco
37i9dQZF1EIeI9MRQg1nGW,disco
1h419AHuvIuFXjUjndFC25,disco
37i9dQZF1EIcpWWCAZfhzJ,disco
37i9dQZF1DX8C9xQcOrE6T,disney
37i9dQZF1DX0zmsulfyDdq,disney
42UkpxHZzexqaG1T2Wf2yu,disney
37i9dQZF1DWVs8I62NcHks,disney
3Bx2rz7RTFmg6nANupvRBC,disney
37i9dQZF1DXczTjwuylBvs,disney
1yYvCmPgePAJCw0I5fxBNK,disney
37i9dQZF1DWVLLXSxmZy0O,disney
37i9dQZF1DX9fDcF6S4tuJ,disney
0fTq8vIvjQbflbTxYq8sqO,disney
37i9dQZF1EIherXksVvnrN,drum-and-bass
068WHS0zOWsqvn2uIBYb5D,drum-and-bass
0Zarq4BVkFkZOWkmqsfrjA,drum-and-bass
11GLSWHNNCTFltXGO0dZWq,drum-and-bass
17TiR69ZuSybMqNMBTuxYf,drum-and-bass
37i9dQZF1EIgbI3nEacD1C,drum-and-bass
7xN5ysJJFDoj0bhyZKN1Zy,drum-and-bass
3k1TTot2OuN9wJaYij8173,drum-and-bass
1bxSnrBuUSmJ61tyy3bn4x,drum-and-bass
6mfO53DZOMaaBqwqtnd4Dc,drum-and-bass
3ObJ6Qra3CkV0gNCRTtK0c,dub
37i9dQZF1DX5Q27plkaOQ3,dub
37i9dQZF1EIeh9ieKsgN2r,dub
37i9dQZF1DX4arVIN5Cg4U,dub
4Y8rO67qvdnzb2kXyNfeim,dub
4YZNKPS9bM3xv1UF4WZil0,dub
0s8tfHVdQa8duFMev3ZlgD,dub
5szak97F9g5KufvE9gI3wZ,dub
1h6ESMAxPsQtss6ZBy08g1,dub
6xo6Pr528QIucumzKcMXOu,dub
3ObJ6Qra3CkV0gNCRTtK0c,dubstep
37i9dQZF1DX5Q27plkaOQ3,dubstep
37i9dQZF1EIeh9ieKsgN2r,dubstep
37i9dQZF1DX4arVIN5Cg4U,dubstep
4Y8rO67qvdnzb2kXyNfeim,dubstep
37i9dQZF1DX06gZCH3HsWs,dubstep
4YZNKPS9bM3xv1UF4WZil0,dubstep
37i9dQZF1DZ06evO4434GM,dubstep
37i9dQZF1DZ06evO1IUbbq,dubstep
5szak97F9g5KufvE9gI3wZ,dubstep
2e3dcRuo9uDH6qD3NOGKAL,edm
37i9dQZF1DX1kCIzMYtzum,edm
37i9dQZF1EIhSskk1NQ9dI,edm
49YtfnyhKYfRN1OqIOSFeA,edm
1lS6v9h4MXOw6f6y8MkS8w,edm
0ftBbYPc1Oyz7WGokBtBr3,edm
0GoQedvZwO4jaWgtdZXOEs,edm
37i9dQZF1EIdEHUkBXtKK5,edm
37i9dQZF1DX3Kdv0IChEm9,edm
3vdYDhTPS1399eLUzsrPJE,edm
3RxJQGGhaS71GGUNuYEQns,electro
37i9dQZF1EIeZKM1YFAtwx,electro
37i9dQZF1EQp9BVPsNVof1,electro
37i9dQZF1DX0wMD4IoQ5aJ,electro
37i9dQZF1DX3bH0P2uDnWA,electro
4QjYVKQOi6WzYlfCiqGEag,electro
37i9dQZF1DXaRycgyh6kXP,electro
574gu0rKWEABHngdcdYSbJ,electro
37i9dQZF1DX9ND1QF5hZNF,electro
37i9dQZF1EIgtdfeeWwF7B,electro
3RxJQGGhaS71GGUNuYEQns,electronic
37i9dQZF1EIeZKM1YFAtwx,electronic
37i9dQZF1EQp9BVPsNVof1,electronic
37i9dQZF1DX0wMD4IoQ5aJ,electronic
37i9dQZF1EIgtdfeeWwF7B,electronic
37i9dQZF1DXaRycgyh6kXP,electronic
574gu0rKWEABHngdcdYSbJ,electronic
37i9dQZF1DXa1pcUVlBhYz,electronic
3SFXCGMk4EuIwhbn1LswkU,electronic
37i9dQZF1DX1T3AaSrgy9r,electronic
3DSKP7qMB3QsDmHccFO0yR,emo
37i9dQZF1DX9wa6XirBPv8,emo
37i9dQZF1EIhAUAaVF0Kop,emo
2RhOcodie2dtAqhNzFxK7T,emo
0shS8aqWu8BLP8YEdwveGr,emo
37i9dQZF1DX5KAyJZfh4Qa,emo
0UhV9pNkUUbi4mahWXuE5M,emo
3tZoCIlcG96MSffTr3as91,emo
5z5dh9yPJQP5HIArWUzbnY,emo
17kAKP4yzhq1meTt4ebcsH,emo
37i9dQZF1EQp62d3Dl7ECY,folk
37i9dQZF1DWXJyjYpHunCf,folk
37i9dQZF1EIe3texLXLRDS,folk
2lEP7FPdvEoRtPwaVbjEPA,folk
3IWCfag3xFRuQCtLirPTjP,folk
37i9dQZF1DXat5j4Lk8UEj,folk
37i9dQZF1EIfHPcgLOknlT,folk
37i9dQZF1DWT9XEOPDgFX3,folk
37i9dQZF1DXcDxnC0UqHJa,folk
60wAIcF2ffuu1iexmQfZnG,folk
3Emxg4RtNwTFyBUwKU0lGe,forro
5CkHHiI0ieq4J1hPgTPt9q,forro
4JTIyl1FfUqdrd5DZthX9k,forro
5vwa9PNnpysFngDtOFg5Tu,forro
4WylgrWlLPjJBPvd2AZNkq,forro
4d8MsZIS8iGNarMBVMSKLL,forro
0vpVzUtjvPfIxgsA9vLAl4,forro
7mNwdW2F8x1aATqRQC61pn,forro
37i9dQZF1EQm8ieRiSsYFT,forro
3Fv9OoxBejJZJkx2bVBWsj,forro
3x6xRt9FnSbfPbgiO6incZ,french
37i9dQZF1DXbehaqJzJXqw,french
6TxuoHMx9qLTePZGS1CasY,french
37i9dQZF1DX0ZO4kBlpsIH,french
1YmR0lQNYEyE6kAt91IqaJ,french
37i9dQZF1DX9cbNxuNYT3d,french
37i9dQZF1EIeKbVlKa0igq,french
73xZRH7MPyPZUoRkgLgnth,french
37i9dQZF1DZ06evO3QAIHC,french
37i9dQZF1DZ06evO4nYEAu,french
37i9dQZF1EQnJyHBkXpASl,funk
37i9dQZF1EIfqkfSDVB2GV,funk
37i9dQZF1DWWvhKV4FBciw,funk
37i9dQZF1DX70TzPK5buVf,funk
37i9dQZF1DX6drTZKzZwSo,funk
6kOEw0xcu5QKbN9lour0e5,funk
6l0HJ2gBmteUfiNrsc479o,funk
37i9dQZF1EIdcCCZqlL2Fg,funk
6SRtIRHaZzkftDhalDZKtF,funk
4d9FIRJKV1nJDUu6ee4dC6,funk
37i9dQZF1EIdIgV7xVkqjy,garage
37i9dQZF1DX0RJRF55W5lt,garage
5gYNyfu0pZGSdtwpuWW5K2,garage
37i9dQZF1DX6MNYaY0PcFh,garage
3tOKIQoVQ6L1mj9Wz5BV8Z,garage
37i9dQZF1EIguRh8QhPALx,garage
37i9dQZF1DZ06evO3jfamW,garage
3RIb45qQOacnuAtJerXLBU,garage
37i9dQZF1DZ06evO43RbZ6,garage
0iHMEv2JSsu7cgm2LPbzJn,garage
37i9dQZEVXbJiZcmkrIHGU,german
0KwsbLDSEy7A5P9xHn1qGu,german
37i9dQZF1DZ06evO1lOFHj,german
37i9dQZF1EIfyXR9EchWmA,german
37i9dQZF1DZ06evO2Pq97a,german
3x56V2o7iPyCwmp4SW2wcw,german
37i9dQZF1DZ06evO0RW6uB,german
37i9dQZF1EIhQjCMqVAnxG,german
37i9dQZF1DZ06evO3YNIek,german
37i9dQZF1DZ06evO0sSsal,german
37i9dQZF1EId7tcfymT9nk,gospel
37i9dQZF1DXcb6CQIjdqKy,gospel
37i9dQZF1DXbT5gAyEVKuo,gospel
3F00HTJpKi7GbPPAxPEbBf,gospel
