id,name,album_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,color
66eaAKE675VWRnj8EVeDQk,I Could Write A Book,1Jn2DXdP0Ci1UBVjfFpZPF,jazz,0.361,0.0183,0,-27.625,1,0.0351,0.995,0.885,0.088,0.0574,106.386,audio_features,spotify:track:66eaAKE675VWRnj8EVeDQk,https://api.spotify.com/v1/tracks/66eaAKE675VWRnj8EVeDQk,https://api.spotify.com/v1/audio-analysis/66eaAKE675VWRnj8EVeDQk,196012,5,[0.50392157 0.99998103 0.70492555 1.        ]
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,0w8YD8Wz1hEkwXdsAMzzFe,jazz,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,audio_features,spotify:track:66iKqUazBbTlAEjcZrpDkD,https://api.spotify.com/v1/tracks/66iKqUazBbTlAEjcZrpDkD,https://api.spotify.com/v1/audio-analysis/66iKqUazBbTlAEjcZrpDkD,151867,4,[0.50392157 0.99998103 0.70492555 1.        ]
66iP3U2QOKgevrnrbWk53S,"thank u, next",5zdSoEL5yn9hXs7bJQdnqe,classical,0.417,0.202,2,-10.881,1,0.0442,0.957,0.00862,0.0689,0.635,69.177,audio_features,spotify:track:66iP3U2QOKgevrnrbWk53S,https://api.spotify.com/v1/tracks/66iP3U2QOKgevrnrbWk53S,https://api.spotify.com/v1/audio-analysis/66iP3U2QOKgevrnrbWk53S,206720,3,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
675uoOAtz3TzuigX3Doe4h,"The Seasons, Op. 37b: VI. June, ""Barcarolle""",0falRTDjRo6qFsfBwUk1Qb,classical,0.309,0.0445,7,-27.95,0,0.0481,0.993,0.871,0.0825,0.182,87.36,audio_features,spotify:track:675uoOAtz3TzuigX3Doe4h,https://api.spotify.com/v1/tracks/675uoOAtz3TzuigX3Doe4h,https://api.spotify.com/v1/audio-analysis/675uoOAtz3TzuigX3Doe4h,271200,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
67HF6y5o1UhIFUGIOPzUK5,Three Jamaican Dances: No. 2,0Ek2MOe3oScb5Fn39c8F57,classical,0.458,0.0183,4,-29.244,1,0.0453,0.989,0.879,0.074,0.219,117.004,audio_features,spotify:track:67HF6y5o1UhIFUGIOPzUK5,https://api.spotify.com/v1/tracks/67HF6y5o1UhIFUGIOPzUK5,https://api.spotify.com/v1/audio-analysis/67HF6y5o1UhIFUGIOPzUK5,147587,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
67XXdBK80hV7APXgWwb3jg,"Preghiera (Arr. By Fritz Kreisler From Piano Concerto No. 2 In C Minor, Op. 18, 2nd Movement)",4llt499HmaBhkeJEY43kig,classical,0.221,0.0612,0,-21.344,1,0.0392,0.97,0.491,0.0661,0.0692,104.181,audio_features,spotify:track:67XXdBK80hV7APXgWwb3jg,https://api.spotify.com/v1/tracks/67XXdBK80hV7APXgWwb3jg,https://api.spotify.com/v1/audio-analysis/67XXdBK80hV7APXgWwb3jg,329653,3,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
67b8oUDiOzfPPN2xDj4G0x,Sun Go Down,6tGejsu1Row5Qg2MD6fRl3,jazz,0.598,0.623,6,-8.047,0,0.0623,0.809,0.94,0.116,0.774,173.947,audio_features,spotify:track:67b8oUDiOzfPPN2xDj4G0x,https://api.spotify.com/v1/tracks/67b8oUDiOzfPPN2xDj4G0x,https://api.spotify.com/v1/audio-analysis/67b8oUDiOzfPPN2xDj4G0x,192934,4,[0.50392157 0.99998103 0.70492555 1.        ]
67ljrdF7u8X2xbj4zgkPDQ,The Beat Of A Different Drum,1NSbnYV7dQaSqSeodWJHxA,jazz,0.283,0.121,0,-15.316,0,0.033,0.984,0.962,0.133,0.265,178.052,audio_features,spotify:track:67ljrdF7u8X2xbj4zgkPDQ,https://api.spotify.com/v1/tracks/67ljrdF7u8X2xbj4zgkPDQ,https://api.spotify.com/v1/audio-analysis/67ljrdF7u8X2xbj4zgkPDQ,203030,3,[0.50392157 0.99998103 0.70492555 1.        ]
687dYpD7d1LTkxSA4H1Qzd,"Pavane, Op.50",35UsukAiaVSt45Kv1rflWw,classical,0.175,0.0385,6,-27.916,0,0.0385,0.931,0.919,0.116,0.0761,81.177,audio_features,spotify:track:687dYpD7d1LTkxSA4H1Qzd,https://api.spotify.com/v1/tracks/687dYpD7d1LTkxSA4H1Qzd,https://api.spotify.com/v1/audio-analysis/687dYpD7d1LTkxSA4H1Qzd,314893,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,0UMMIkurRUmkruZ3KGBLtG,hip-hop,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4,[1.         0.70054304 0.37841105 1.        ]
